Modelo,ECO DS9KDR2,ECO DS12KDR2,ECO DS18KDR2,ECO DS24KDR2,ACD12KDBS,ACD18KDBS,ACD24KDBS,ACD30KDBS,ACD36KDBS,ACD42KDBS
Potencia calefaccion kW,2.75,3.42,5.13,6.67,4.00,5.60,8.00,8.80,11.50,13.50
SCOP,4.00,4.00,4.00,4.00,4.00,4.00,4.09,4.09,4.20,4.09
Potencia frigorifica kW,2.63,3.40,5.10,6.61,3.50,5.30,7.10,8.50,10.50,12.10
Potencia de compresor kW,0.71,1.04,1.49,2.08,0.94,1.42,1.83,2.41,2.91,3.49
Prestacion energetica,A++,A++,A++,A++,A++,A++,A++,A++,A++,A++
SEER,6.10,6.10,6.10,6.10,6.50,6.30,6.60,6.40,6.40,6.10
Potencia electrica nominal kW,0.80,1.13,1.58,2.17,1.03,1.51,1.92,2.50,3.00,3.58
Tipo de maquina,Split-pared,Split-pared,Split-pared,Split-pared,Split-Conducto,Split-Conducto,Split-Conducto,Split-Conducto,Split-Conducto,Split-Conducto
Ficha tecnica,DAT_1,DAT_1,DAT_1,DAT_1,DAT_2,DAT_2,DAT_2,DAT_2,DAT_2,DAT_2
COP,3.73,3.40,3.71,3.33,4.00,3.95,4.00,3.90,4.09,3.65
EER,3.25,3.01,3.23,3.04,3.40,3.50,3.70,3.40,3.50,3.38
Declaracion conformidad,,,,,,,,,,
Tuberia gas,3/8,3/8,3/8,1/2,3/8,1/2,5/8,5/8,5/8,5/8
Tuberia liquido,1/4,1/4,1/4,1/4,1/4,1/4,3/8,3/8,3/8,3/8
Carga de refrigerante Kg,0.57,0.57,1.00,1.14,0.57,0.85,1.50,1.50,2.10,2.25
