Modelo,1U25/AS25_PRE,1U35/AS35_PRE,1U50/AS50_PRE,1U71/AS71_PRE,1U25/AS25_FLEX,1U35/AS35_FLEX,1U50/AS50_FLEX,1U68/AS68_FLEX,2U40S2M1FA,2U50S2M1FA,3U55S2M1FA,3U70S2M1FA,4U75S2M1FA,4U85S2M1FA,5U101S2M1FA,AD35S2_1U35S,AD50S2_1U50S,AD71S2_1U71S,AD105_1U105,AD125_1U125S2,AD140_1U140
Potencia calefaccion kW,3.10,3.90,5.80,7.40,3.20,4.20,6.00,8.00,4.40,5.20,6.80,7.60,8.60,9.60,10.50,4.00,6.00,7.50,10.2,12.7,15
SCOP,4.6,4.6,4.6,4.6,5.1,5.1,5.1,5.1,4,4,4,4.2,4,4,4,3.8,3.8,3.8,3.8,3.94,3.94
Potencia frigorifica kW,2.70,3.60,5.30,7.10,2.60,3.50,5.20,7.00,4.00,5.00,5.50,7.00,7.50,8.50,10.00,3.50,5.00,7.10,9.5,12.3,13.4
Potencia de compresor kW,0.7,1.1,1.5,1.9,0.65,0.87,1.41,2.16,0.91,1.36,1.26,1.57,1.61,2.14,2.67,1.08,1.55,3.16,2.2,4.47,
Prestacion energetica,A+++,A+++,A+++,A+++,A+++,A+++,A++,A++,A++,A+++,A++,A++,A++,A++,A++,A++,A++,A++,A++,A+,A+
SEER,8.5,8.5,8.5,8.5,8.5,8.5,7.2,7.1,6.2,6.5,8.5,7.5,7,7,7,6.1,6.1,6.1,6.1,5.8,5.84
Potencia electrica nominal kW,0.711,1.11,1.51,1.97,0.84,1.19,1.7,2,1,1.45,1.35,1.66,1.7,2.23,2.76,1.08,1.55,2.2,3.16,4.47,4.75
Tipo de maquina,Split-pared,Split-pared,Split-pared,Split-pared,Split-pared,Split-pared,Split-pared,Split-pared,Multi-split,Multi-split,Multi-split,Multi-split,Multi-split,Multi-split,Multi-split,Conductos,Conductos,Conductos,Conductos,Conductos,Conductos
Ficha tecnica,HAR_1,HAR_1,HAR_1,HAR_1,HAR_2,HAR_2,HAR_2,HAR_2,HAR_3,HAR_3,HAR_3,HAR_3,HAR_3,HAR_3,HAR_3,HAR_4,HAR_4,HAR_4,HAR_4,HAR_4,HAR_4
COP,3.71,3.71,4,3.8,4,3.81,4,3.71,4.1,3.71,4.1,4.1,4,4,3.7,3.71,3.71,3.71,3.5,3.4,3.31
EER,3.8,3.23,3.5,3.6,4,4,3.6,3.23,4,3.45,4,3.81,3.8,3.21,2.88,3.23,3.23,3.23,3.01,2.75,2.82
Declaracion conformidad,DC_HAR_1_2_3_4,DC_HAR_1_2_3_4,DC_HAR_1_2_3_4,DC_HAR_1_2_3_4,DC_HAR_1_2_3_4,DC_HAR_1_2_3_4,DC_HAR_1_2_3_4,DC_HAR_1_2_3_4,DC_HAR_1_2_3_4,DC_HAR_1_2_3_4,DC_HAR_1_2_3_4,DC_HAR_1_2_3_4,DC_HAR_1_2_3_4,DC_HAR_1_2_3_4,DC_HAR_1_2_3_4,DC_HAR_1_2_3_4,DC_HAR_1_2_3_4,DC_HAR_1_2_3_4,DC_HAR_1_2_3_4,DC_HAR_1_2_3_4,DC_HAR_1_2_3_4
Tuberia gas,3/8,3/8,1/2,5/8,3/8,3/8,1/2,5/8,3/8,3/8,3/8,3/8,3/8 + 1/2,3/8 + 1/2 ,3/8 + 2 ( 1/2),3/8,1/2,5/8,5/8,5/8,5/8
Tuberia liquido,1/4,1/4,1/4,1/4,1/4,1/4,1/4,1/4,1/4,1/4,1/4,1/4,1/4,1/4,1/4,1/4,1/4,1/4,3/8,3/8,3/8
Carga de refrigerante Kg,0.58,0.65,1.1,1.35,0.43,0.53,0.74,0.88,1,1.4,1.6,1.6,2.2,2.2,2.4,0.94,0.95,1.3,1.5,2,2.9
,,,,,,,,,,,,,,,,,,,,
,4.655172414,5.538461538,4.818181818,5.259259259,6.046511628,6.603773585,7.027027027,7.954545455,4,3.571428571,3.4375,4.375,3.409090909,3.863636364,4.166666667,3.723404255,5.263157895,5.461538462,,
