Modelo,SCP91-09,SCP91-12,SCP91-18,SCP91-24,,,,,,,,,
Potencia calefaccion kW,2.6,3.4,5.1,6.9,,,,,,,,,
SCOP,4,4,4,4,,,,,,,,,
Potencia frigorifica kW,2.6,3.4,5.1,6.8,,,,,,,,,
Potencia de compresor kW,,,,,,,,,,,,,
Prestacion energetica,A++,A++,A++,A++,,,,,,,,,
SEER,6.1,6.1,6.1,6.1,,,,,,,,,
Potencia electrica nominal kW,0.85,1.13,1.58,2.25,,,,,,,,,
Tipo de maquina,Split,Split,Split,Split,,,,,,,,,
Ficha tecnica,SEIC_1,SEIC_1,SEIC_1,SEIC_1,,,,,,,,,
COP,3.43,3.42,3.72,3.33,,,,,,,,,
EER,3.06,3.01,3.23,3.03,,,,,,,,,
Declaracion conformidad,DSEIC_1,DSEIC_1,DSEIC_1,DSEIC_1,,,,,,,,,
Tuberia gas,3/8,3/8,3/8,1/2,,,,,,,,,
Tuberia liquido,1/4,1/4,1/4,1/4,,,,,,,,,
Carga de refrigerante Kg,0.45,0.49,1,1.14,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
