Modelo,ELS026AMBR32,ELS035AMBR32,ELS052AMBR32,ELS071AMBR32,EL2M41AMBR32
Potencia calefaccion kW,2.91,3.80,5.57,7.31,4.4
SCOP,4.00,4.00,4.00,4.00,3.8
Potencia frigorifica kW,2.60,3.50,5.30,7.00,4.1
Potencia de compresor kW,0.64,1.12,1.45,2.26,1.3
Prestacion energetica,A++,A++,A++,A++,A+
SEER,6.30,6.10,7.10,6.10,5.6
Potencia electrica nominal kW,0.73,1.21,1.54,2.35,1.27
Tipo de maquina,Split-pared,Split-pared,Split-pared,Split-pared,Multi-split
Ficha tecnica,ELX_1,ELX_1,ELX_1,ELX_1,ELX_2
COP,3.96,3.46,3.76,3.59,3.72
EER,3.55,2.89,3.44,2.99,3.22
Declaracion conformidad,,,,,
Tuberia gas,3/8,3/8,1/2,5/8,3/8
"Tuberia liquido,1/4,1/4,1/4,3/8;1/4"
Carga de refrigerante Kg,0.55,0.55,1.00,1.60,1.1
