Modelo,AOYG07,AOYG09,AOYG12,AOYG14,
Potencia calefaccion kW,2.5,2.8,4,5.4,7.1,
SCOP,5.3,5.2,5.2,4.5,
Potencia frigorifica kW,2.0,2.5,3.4,4.2,
Potencia de compresor Kw,0.5,0.75,0.9,1.5,
Prestacion energetica,A++,A+++,A+++,A++,
SEER,8.10,8.9,8.7,7.9,
Potencia electrica nominal Kw,0.4,0.55,0.8,1.17,
Tipo de maquina,Split,Split,Split,Split,
Ficha tecnica,FJIT_1,FJIT_1,FJIT_1,FJIT_1,
COP,5,5,4.4,4,
EER,5,4.5,4.22,3.57,
Declaracion conformidad,,,,,
Tuberia gas,3/8,3/8,3/8,3/8,
Tuberia liquido,1/4,1/4,1/4,1/4,
Carga de refrigerante Kg,0.75,0.75,0.85,0.85,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
