Modelo,GIA-9,GIA-12,GIA 18,GIA 24,GIA 30,GIA 36,GIA 42,GIA 48,,,,,,
Potencia calefaccion kW,3.5,4.5,6.3,8.6,10.0,12.6,14.1,17.3,,,,,,
SCOP,4,1,4,1,4.1,4,2,4.2,4.1,4.1,4,,,,,,
Potencia frigorifica kW,3.91,6.16,7.92,8.5,9.97,11.73,12.3,14.95,,,,,,
Potencia de compresor kW,1.18,1.46,2.13,2.86,3.45,4.3,4.5,6.15,,,,,,
Prestacion energetica,A++,A++,A++,A++,A++,A++,A++,A++,,,,,,
SEER,6,5,6.5,6.5,6,6,6.6,6.3,6.1,6.1,,,,,,
Potencia electrica nominal kW,1.18,1.46,2.13,2.86,3.45,4.30,4.50,6.15,,,,,,
Tipo de maquina,Split-Conducto,Split-Conducto,Split-Conducto,Split-Conducto,Split-Conducto,Split-Conducto,Split-Conducto,Split-Conducto,,,,,,
Ficha tecnica,GT_1,GT_1,GT_1,GT_1,GT_1,GT_1,GT_1,GT_1,,,,,,
COP,4.1,3.1,3.4,3.4,3.9,3.2,3.4,4.3,,,,,,
EER,2.9,3.1,3.0,3.0,2.9,2.7,2.7,2.4,,,,,,
Declaracion conformidad,,,,,,,,,,,,,,
Tuberia gas,3/8,3/8,1/2,5/8,5/8,5/8,5/8,5/8,,,,,,
Tuberia liquido,1/4,1/4,1/4,3/8,3/8,3/8,3/8,3/8,,,,,,
Carga de refrigerante Kg,0.65,0.71,1.15,1.40,1.80,2.40,2.80,2.90,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
